source_file	source_name	mapping_name	wc1_address	wc2_address	evidence	review_flags	binary_similarity	similarity_band
src/winmain.c	AllocateGuardedMemory	AllocateGuardedMemory	00402BB0	00455466	WC1-callgraph-propagated		66.67	50to90
src/barracks.c	DrawBarracksStaticDetails	DrawLocalFnBC90	0041BC90	00467300	WC1-fuzzy-very-low		66.67	50to90
src/gr.c	fizzle_fade	fizzle_fade	00442200	00428690	WC1-callgraph-propagated		67.42	50to90
src/hudmsg.c	arrive_from_warp	arrive_from_warp	0042A950	00424AEE	WC1-fuzzy-followup		67.53	50to90
src/cockpt.c	AppendFormattedText	AppendFormattedText	00413CB0	004206F2	WC1-callgraph-propagated		67.65	50to90
src/screens.c	death_sequence	death_sequence	00439660	004697A0	WC1-callgraph-propagated	WC1-review-module-mismatch	67.71	50to90
src/ship.c	rnd_aim	rnd_aim	004208E0	0040A556	WC1-fuzzy-low		67.74	50to90
src/dib.c	DIBsetPalette	DIBsetPalette	00432F10	0045E46C	WC1-fuzzy-followup		67.86	50to90
src/pload.c	FindActiveSoundEntryBySample	FindActiveSoundEntryBySample	0042B3F0	00461D29	WC1-fuzzy-medium		67.86	50to90
src/system.c	ShowMemoryStatusDebug	ShowMemoryStatusDebug	004273C0	00437AEC	WC1-fuzzy-very-low		67.96	50to90
src/screen.c	ReleaseContiguousPaletteEntries	ReleaseContiguousPaletteEntries	00431970	00420340	WC1-fuzzy-medium		68.00	50to90
src/pilot.cpp	DestroyGlobalDebugOverlayConsole	DestroyGlobalDebugOverlayConsole	00425B90	0040FF00	WC1-auto-vt		68.18	50to90
src/spc.c	force_view	DoUiFn17B0	004117B0	0041AD51	WC1-callgraph-propagated		68.18	50to90
src/music.c	SetMusicOn	DoLocalFnE330	0042E330	0042F100	WC1-fuzzy-very-low		68.18	50to90
src/logic.c	fire_missile	ReportNeedTargetLock	00421150	0041670E	WC1-fuzzy-followup		68.27	50to90
src/system.c	GetJoystickButtonEdge	DoLocalFn74C0	004274C0	0043CBD3	WC1-fuzzy-very-low		68.42	50to90
src/cockpt.c	update_objective_location	update_objective_location	00415770	0043AE2F	WC1-callgraph-propagated		68.55	50to90
src/cockpt.c	place_damage_on_cockpit	place_damage_on_cockpit	004178A0	0043EC50	WC1-fuzzy-very-low		68.57	50to90
src/main.c	players_flight_dynamics	players_flight_dynamics	004284D0	0046696E	WC1-fuzzy-medium		68.60	50to90
src/gr.c	GetPaletteEntry	DoLocalFn13C0	004413C0	00461D68	WC1-callgraph-propagated		68.75	50to90
src/cockpt.c	vdu_malf	vdu_malf	00414B20	00421BFC	WC1-fuzzy-low		68.97	50to90
src/main.c	SelectNextExternalViewObject	SelectNextExternalViewObject	00428C90	00465E25	WC1-fuzzy-medium		68.97	50to90
src/logic.c	hostile_sphere	hostile_sphere	00423970	0042B565	WC1-callgraph-single		69.05	50to90
src/ship.c	explosion_shock_wave	explosion_shock_wave	0041FEE0	00414025	WC1-callgraph-propagated		69.19	50to90
src/cockpt.c	malf	malf	00414AF0	00439789	WC1-fuzzy-followup		69.23	50to90
src/smart.c	intelligence_events	intelligence_events	00434A80	0041FF37	WC1-callgraph-propagated		69.29	50to90
src/cockpt.c	DrawPendingCockpitDamage	DrawPendingCockpitDamage	004176C0	0043E9E2	WC1-callgraph-propagated		69.35	50to90
src/eventmgr.c	intro_drawbackgroundships	intro_drawbackgroundships	00436650	0046470E	WC1-callgraph-propagated		69.44	50to90
src/geom.c	child_object	ShipAiRoutine06	00419B40	00425B9E	WC1-fuzzy-low		69.57	50to90
src/winmain.c	remove_hazard	remove_hazard	004011D0	00457587	WC1-fuzzy-low		69.57	50to90
src/mathfp.c	DrawTextString	DrawTextString	004350F0	00461F22	WC1-fuzzy-high		69.89	50to90
src/gr.c	ClearViewport	ClearViewport	00441AE0	00427123	WC1-auto-vt		70.00	50to90
src/logic.c	free_3Space_objects	free_3Space_objects	00424BE0	0042E6EB	WC1-fuzzy-followup		70.00	50to90
src/nav.c	DrawNavLocationReadout	DrawNavLocationReadout	0040DF70	0045180F	WC1-fuzzy-followup		70.21	50to90
src/logic.c	init_formation_burst	init_formation_burst	00422B30	0042A39A	WC1-fuzzy-very-low		70.27	50to90
src/logic.c	evaluate_damage	evaluate_damage	00423C00	0042B985	WC1-fuzzy-medium		70.45	50to90
src/nav.c	BriefingMap_DisplayMap	BriefingMap_DisplayMap	0040E210	00451B70	WC1-fuzzy-very-low		70.49	50to90
src/mono.c	ResetStringBuilder	ResetStringBuilder	00403E40	0040A27A	WC1-callgraph-single-low		70.59	50to90
src/strdos.c	DosStrlen	DosStrlen	004354D0	0046250B	WC1-callgraph-propagated		70.59	50to90
src/cockpt.c	draw_nav_pointer	draw_nav_pointer	004168C0	0043CBFD	WC1-fuzzy-very-low		70.62	50to90
src/cockpt.c	rotational_pos_to_scanner_pos	rotational_pos_to_scanner_pos	004158F0	0043B0EB	WC1-fuzzy-low		70.65	50to90
src/screen.c	CloseCommChoiceMenu	CloseCommChoiceMenu	00430DE0	004474F4	WC1-callgraph-propagated		70.83	50to90
src/nav.c	SelectNavObjectiveAtPoint	ScanTbl0059c000FnE2B0	0040E2B0	00451C5C	WC1-fuzzy-very-low		71.03	50to90
src/logic.c	try2rout	try2rout	00422780	00429EE0	WC1-fuzzy-followup		71.05	50to90
src/geom.c	get_facing_range_from_point	get_facing_range_from_point	00419290	0040B92F	WC1-fuzzy-low		71.11	50to90
src/logic.c	build_target_list	build_target_list	00423440	0042AAD3	WC1-fuzzy-very-low		71.15	50to90
src/debug.cpp	DebugOverlayConsole::~DebugOverlayConsole	DebugOverlayConsole::~DebugOverlayConsole	0041C910	0040EEC7	WC1-fuzzy-followup		71.43	50to90
src/strdos.c	EventManagerHook	EventManagerHook	004355C0	00464E35	WC1-callgraph-propagated		71.43	50to90
src/ship.c	fire_flack	fire_flack	00420840	00415563	WC1-callgraph-propagated		71.64	50to90
src/music.c	AllocateViewport	AllocateViewport	0042E090	0045CAD2	WC1-fuzzy-followup		71.64	50to90
src/logic.c	scan_for_enemy	scan_for_enemy	00422F80	0042A8B5	WC1-fuzzy-very-low		72.09	50to90
src/debug.cpp	DebugOverlayConsole::Scroll	DebugOverlayConsole::Scroll	0041CC50	0045B348	WC1-callgraph-propagated		72.13	50to90
src/gr.c	GetTransformedShapeBounds	GetTransformedShapeBounds	00442050	004283A4	WC1-fuzzy-very-low		72.20	50to90
src/music.c	sound_effect	sound_effect	0042EF20	004535BB	WC1-order-exact		72.22	50to90
src/screen.c	InitializeDIBScreenViewport	InitializeDIBScreenViewport	0042F740	0040FB80	WC1-fuzzy-followup		72.31	50to90
src/sound.c	playWAVE	playWAVE	0042B4A0	0042418C	WC1-fuzzy-followup		72.41	50to90
src/main.c	initialize_view_buffer	initialize_view_buffer	00427A00	00465CF6	WC1-fuzzy-medium		72.41	50to90
src/ship.c	find_child_ship	find_child_ship	00420210	00414CA9	WC1-fuzzy-low		72.50	50to90
src/cockpt.c	check_target	check_target	00416FD0	0043DDFC	WC1-callgraph-propagated		72.84	50to90
src/cockpt.c	push_mode	push_mode	004148A0	004393B3	WC1-fuzzy-low		73.08	50to90
src/screen.c	PollMenuInputDevices	PollMenuInputDevices	00430920	00421530	WC1-fuzzy-low		73.30	50to90
src/screen.c	FrameStartHook	FrameStartHook	0042F930	0040A2A3	WC1-callgraph-single-low		73.33	50to90
src/cockpt.c	kilrathi_near	kilrathi_near	00414300	0043895F	WC1-fuzzy-very-low		73.33	50to90
src/music.c	FlushSoundEffectsAndLog	FlushSoundEffectsAndLog	0042EF10	0045357E	WC1-callgraph-propagated		73.33	50to90
src/eventmgr.c	FlushInputEvents	FlushInputEvents	00435DB0	0046354F	WC1-callgraph-propagated		73.33	50to90
src/hudmsg.c	unwarp	unwarp	0042AA10	00424C05	WC1-callgraph-propagated		73.40	50to90
src/gr.c	Streamer_play	Streamer_play	00442430	00428A2F	WC1-fuzzy-very-low		73.68	50to90
src/spc.c	animate_shape	SoundTbl0059de40Fn2CD0	00412CD0	0041D07B	WC1-fuzzy-very-low		73.72	50to90
src/gr.c	DrawSolidColourSprite	DrawSolidColourSprite	00441A40	00426FD9	WC1-callgraph-propagated		73.81	50to90
src/dib.c	DIBmakeDIB	DIBmakeDIB	004326E0	0045D80F	WC1-fuzzy-followup		73.86	50to90
src/gr.c	DrawSpriteTransformed	DrawSpriteTransformed	00440FE0	00425FB4	WC1-fuzzy-very-low		73.96	50to90
src/gr.c	DrawFilledViewportRect	DrawFilledViewportRect	00441C70	0042722E	WC1-fuzzy-followup		74.07	50to90
src/logic.c	LoadShapeSet	LoadShapeSet	00423CE0	004568E0	WC1-callgraph-propagated		74.14	50to90
src/brains.c	cruise_home	cruise_home	00409760	00442770	WC1-fuzzy-very-low		74.19	50to90
src/screen.c	Chosen_communicate_option	Chosen_communicate_option	00431350	00447EF5	WC1-callgraph-propagated		74.29	50to90
src/music.c	show_target_disp	show_target_disp	0042DB90	0043FAC0	WC1-fuzzy-very-low		74.32	50to90
src/gr.c	Streamer_open	Streamer_open	004423B0	004289BF	WC1-fuzzy-followup		74.36	50to90
src/brains.c	SetScale	SetScale	0040CD30	0044FC6D	WC1-fuzzy-followup		74.38	50to90
src/cockpt.c	SelectCockpitVduMode	SelectCockpitVduMode	00417F60	0043F8CD	WC1-fuzzy-followup		74.56	50to90
src/eventmgr.c	DrawMouseCursor	DrawUiFn5EF0	00435EF0	004636F7	WC1-fuzzy-low		74.60	50to90
src/pilot.cpp	TakeDebugStepFlag	GetDebugFn5BD0	00425BD0	0040FE3E	WC1-order-exact		75.00	50to90
src/winmain.c	difficulty	difficulty	00401250	00417AD7	WC1-callgraph-single-low		75.00	50to90
src/gr.c	Streamer_close	Streamer_close	004425D0	00428B86	WC1-auto-vt		75.00	50to90
src/logic.c	approach_half_speed	approach_half_speed	00422E10	0042A71D	WC1-fuzzy-followup		75.00	50to90
src/hudmsg.c	ShowGamePausedBanner	ShowGamePausedBanner	004290A0	00437F2F	WC1-fuzzy-very-low		75.00	50to90
src/logic.c	alter_tactic	alter_tactic	00422D00	004429A7	WC1-fuzzy-low		75.00	50to90
src/brains.c	check_futurion	check_futurion	0040B700	0044B257	WC1-fuzzy-medium		75.00	50to90
src/cdrom.c	FindCdRomDriveByVolumeLabel	FindCdRomDriveByVolumeLabel	00403290	00456236	WC1-fuzzy-medium		75.00	50to90
src/strdos.c	SetEventManagerPump	SetEventManagerPump	004355D0	00464E4F	WC1-callgraph-propagated		75.00	50to90
src/dib.c	DIBupdate	DIBupdate	00432C60	0045E060	WC1-fuzzy-followup		75.18	50to90
src/logic.c	trim_goals	trim_goals	004225C0	00429BF0	WC1-fuzzy-medium		75.47	50to90
src/auto.c	auto_pilot_sequence	auto_pilot_sequence	00404050	00422B1C	WC1-callgraph-propagated		75.56	50to90
src/logic.c	engage	engage	00423A50	0042B6C5	WC1-fuzzy-followup		75.61	50to90
src/nav.c	PlaceNavMapLabel	PlaceNavMapLabel	0040D2C0	00450458	WC1-fuzzy-low		75.66	50to90
src/brains.c	try2allow_engage	try2allow_engage	00409D10	0044301A	WC1-fuzzy-followup		75.76	50to90
src/logic.c	gone_ship	gone_ship	00423640	0042B0FB	WC1-callgraph-propagated		75.86	50to90
src/nav.c	AllocateNearHeapBlockFromEnd	AllocateNearHeapBlockFromEnd	0040EB70	00420B88	WC1-fuzzy-low		75.98	50to90
src/cockpt.c	update_digital_readouts	update_digital_readouts	00414A50	004396BF	WC1-fuzzy-medium		76.00	50to90
src/mathfp.c	SinFixed	CalcVideoFn4E00	00434E00	00461A91	WC1-callgraph-propagated		76.00	50to90
src/mathfp.c	CosFixed	CalcVideoFn4E30	00434E30	00461AD6	WC1-callgraph-propagated		76.00	50to90
src/brains.c	cruise_to_destination	cruise_to_destination	0040A410	00443A08	WC1-fuzzy-followup		76.10	50to90
src/cockpt.c	cycle_next_objective	cycle_next_objective	00415370	0043A851	WC1-fuzzy-low		76.19	50to90
src/cockpt.c	escorting_a_ship	escorting_a_ship	00415510	0043AAC3	WC1-callgraph-single-low		76.19	50to90
src/screens.c	PanToScreen	PanToScreen	00439430	00433410	WC1-fuzzy-very-low		76.24	50to90
src/screen.c	AllocateTaggedMemory	AllocateTaggedMemory	0042FA90	0045901D	WC1-fuzzy-followup		76.32	50to90
src/screens.c	no_objectives_achieved	no_objectives_achieved	00438090	004296E2	WC1-fuzzy-low		76.47	50to90
src/smart.c	pick_regular_maneuver	pick_regular_maneuver	00434630	0041F4C6	WC1-fuzzy-followup		76.55	50to90
src/gr.c	DrawFontGlyph	DrawFontGlyph	00441150	004261E5	WC1-fuzzy-low		76.59	50to90
src/ship.c	repair_internal_damage	repair_internal_damage	0041F660	004135F1	WC1-fuzzy-followup		76.92	50to90
src/mono.c	SoundDebugPrintf	GetG005a8760Fn3DB0	00403DB0	0042F0B3	WC1-auto-vt		76.92	50to90
